d,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,day_of_week,is_weekend,is_holiday,sell_price,price_lag_7,price_change_7,lag_7,lag_28,rolling_mean_7,rolling_mean_28,rolling_std_28,sales
1762,5,11,2015,0,0,0,0,0,0,0,5,0,0,0.2,0.2,0.0,0.0,2.0,0.5714285714285714,3.5357142857142856,9.803559983994948,0
714,7,1,2013,0,0,0,0,0,1,1,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
967,1,9,2013,0,0,0,0,0,0,0,1,1,0,5.98,5.98,0.0,2.0,2.0,2.5714285714285716,2.3214285714285716,2.143959152260334,5
1578,3,5,2015,12,3,0,0,0,0,0,3,0,1,4.47,4.47,0.0,0.0,0.0,0.0,0.14285714285714285,0.5245305283129618,0
440,6,4,2012,0,0,0,0,0,1,1,6,0,0,3.98,3.98,0.0,1.0,0.0,1.1428571428571428,0.6071428571428571,0.8751417118804339,1
854,7,5,2013,0,0,0,0,0,0,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1621,4,7,2015,0,0,0,0,1,1,0,4,0,0,1.88,1.88,0.0,2.0,3.0,1.8571428571428572,2.0,1.7213259316477412,1
686,7,12,2012,0,0,0,0,0,0,1,7,1,0,0.94,0.94,0.0,2.0,10.0,5.142857142857143,5.642857142857143,3.5508401271340135,2
1454,5,1,2015,0,0,0,0,0,0,0,5,0,0,5.27,5.27,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.7417981870189154,0
933,2,8,2013,0,0,0,0,0,0,0,2,0,0,0.97,0.97,0.0,1.0,0.0,0.5714285714285714,0.5357142857142857,0.9222413461394479,1
169,1,7,2011,0,0,0,0,0,0,0,1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
359,2,1,2012,0,0,0,0,0,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
399,7,3,2012,0,0,0,0,1,0,1,7,1,0,3.28,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0
